video_id,title,description,published_at,view_count,like_count,comment_count,duration,source
f18hPNvhGFM,"""Reality Check with Ross Coulthart: Underwater UFOs"" | Saturday 8p/7C","Ross Coulthart and his team of investigators explore mysterious reports of an alleged underwater UFO highway linked to unexplained sightings in the waters below and skies above. ""Reality Check with Ross Coulthart: Underwater UFOs,"" Saturday 8p/7C. Find NewsNation on your screen: NewsNationNow.com",2025-12-01T19:11:44Z,15000,428,34,PT32S,initial_dump
zR5I8w98srI,"Marco Rubio, government leaders break silence in 'Age of Disclosure' | Reality Check","In this episode of ""Reality Check,"" Ross Coulthart explores the new documentary film ""Age of Disclosure."" You'll hear testimonies from 34 members of the U.S. government, military and intelligence community, including Secretary of State Marco Rubio —before he held the position — Luis Elizondo and Rep. Tim Burchett, R-Tenn.. Coulthart also floats an idea: will the U.S. offer leaders in Washington, D.C., a treason reconciliation commission?

About the film — ""The Age of Disclosure"": https://www.theageofdisclosure.com/about-the-film
World-changing confession: Doctor describes studying live alien | Reality Check: https://www.youtube.com/watch?v=5Zit-08rtkE&t=432s

#UAP #MarcoRubio #AgeofDisclosure

CREDITS
Host: Ross Coulthart
Executive Producer: Andy Gipson
Editorial Producer: Meagan Ourada
Segment Producer: Christine Jenkinson
Associate Producer: William Tomasi
Editor: Irit Nayden

On ""Reality Check,"" NewsNation Special Correspondent Ross Coulthart takes a fact-based approach to tackle everything from unidentified aerial phenomena (UAPs) to mysteries often missing from the headlines. 

More Reality Check: https://www.newsnationnow.com/podcasts-newsnation/reality-check-with-ross-coulthart/ 

Email your questions to RealityCheck@NewsNationNow.com 

NewsNation is your source for fact-based, unbiased news for all Americans. 
More from NewsNation: https://www.newsnationnow.com/ 
Get our app: https://trib.al/TBXgYpp 
Find us on your screen: https://www.joinnn.com/

CHAPTERS
0:00 - INTRO
0:35 - ABOUT ""AGE OF DISCLOSURE""
3:49 - ""AGE OF DISCLOSURE"" TRAILER
5:54 - LUIS ELIZONDO IN ""AGE OF DISCLOSURE""
9:53 - CHRISTOPHER MELLON IN ""AGE OF DISCLOSURE""
11:07 - HAL PUTHOFF IN ""AGE OF DISCLOSURE""
13:43 - SEC. MARCO RUBIO IN ""AGE OF DISCLOSURE""
17:00 - SEN. KIRSTEN GILLIBRAND IN ""AGE OF DISCLOSURE""
18:08 - REP. TIM BURCHETT IN ""AGE OF DISCLOSURE""
19:44 - JAMES CLAPPER IN ""AGE OF DISCLOSURE""
20:47 - TIM GALLAUDET IN ""AGE OF DISCLOSURE""
21:27 - CRASHES DISCUSSED IN ""AGE OF DISCLOSURE""
23:10 - WILL THE U.S. GOVT OFFER A TREASON RECONCILIATION COMMISSION?
24:00 - UAP STIGMA AND HEARINGS IN ""AGE OF DISCLOSURE""
26:16 - INTELLIGENCE COMMUNITY PUSHBACK ON ""AGE OF DISCLOSURE""
27:08 - ELIZONDO POINTS
30:19 - OUTRO",2025-11-18T22:00:06Z,265278,7517,1626,PT32M24S,initial_dump
uprJ2aYj5B4,Ross Coulthart: No chance Kevin Arnold is a liar,"Ross Coulthart explains why he believes UAP witness Kevin Arnold.

More #RealityCheck: https://youtu.be/jrmu4H_XU9g

#UAP #KevinArnold #RossCoulthart",2025-11-12T16:01:36Z,8566,274,11,PT58S,initial_dump
HOb1O9zU8wk,Citizen journalists find three UAP in New York: Watch their videos | Reality Check,"In this episode of ""Reality Check,"" Ross Coulthart sits down with Gerry Tedesco, John Tedesco and Donna Lee Nardo of Nightcrawler Research, a data-centric UAP research team whose work has caught the attention of the FBI. Together, they discuss the three anomalous objects they've recorded in New York, their conversations with the FBI and how each object affected the camera quality while they recorded every instance.

Former Nellis nuclear security guard details anomalous events at base's Area 2 | Reality Check - youtube.com/watch?v=Mmn5rxfvonU&list=PL6PrA6lo8rJLRExhMvX6wKyNzy0hr_QM3&index=4
 Exclusive: Data showing possible nonhuman intelligence passes peer review | Reality Check - youtube.com/watch?v=zKXq-QQ9FUw&list=PL6PrA6lo8rJLRExhMvX6wKyNzy0hr_QM3&index=2
Ross Coulthart Q&A: What is NASA hiding? | Reality Check - youtube.com/watch?v=pIhbAPbAg24&list=PL6PrA6lo8rJLRExhMvX6wKyNzy0hr_QM3&index=3

#TedescoBrothers #UAP #FBI

CREDITS
Host: Ross Coulthart
Executive Producer: Andy Gipson
Editorial Producer: Meagan Ourada
Segment Producer: Christine Jenkinson
Associate Producer: William Tomasi
Editor: Anthony Diasio

On ""Reality Check,"" NewsNation Special Correspondent Ross Coulthart takes a fact-based approach to tackle everything from unidentified aerial phenomena (UAPs) to mysteries often missing from the headlines. 

More Reality Check: https://www.newsnationnow.com/podcasts-newsnation/reality-check-with-ross-coulthart/ 

Email your questions to RealityCheck@NewsNationNow.com 

NewsNation is your source for fact-based, unbiased news for all Americans. 
More from NewsNation: https://www.newsnationnow.com/ 
Get our app: https://trib.al/TBXgYpp 
Find us on your screen: https://www.joinnn.com/

CHAPTERS LIST
0:00 - INTRO
1:55 - WERE THE NEW JERSEY DRONES REAL?
4:50 - DID THEY SEE A QUADCOPTER?
7:09 - HAS THIS GROUP SEEN OBJECTS MORPH?
10:30 - ARE THESE OBJECTS IDENTIFIED ON A TRACKER?
11:00 - START-UP COMPANY CLAIMS THEIR TECHNOLOGY SHOWED THE INFLUX OF DRONES
11:44 - WHITE HOUSE DRONE EXPLAINATION
13:40 - TEDESCO BROTHERS DESCRIBE OBJECTS THEY SEE IN NEW JERSEY
21:57 - WAS THIS OBJECT MOVING INTELLIGENTLY?
26:06 - WHAT ARE THESE OBJECTS?
27:07 - IS THE FBI TAKING THIS SERIOUSLY?
31:06 - GETTING THE OBJECT ON CAMERA
33:26 - BLACK TRIANGLES INCIDENT
40:05 - WHAT DOES 1.6 GIGAHERTZ MEAN?
44:00 - PEER-REVIEWED DATA
44:44 - SPECTRUM-INTERFERENCE WHILE TRACKING OBJECTS
47:07 - SLOW-MOVING OBJECT
49:09 - WHAT WAS THE BLACK TRIANGLE?
50:04 - RECAPPING BOTH OBJECTS
53:00 - GRAVITATIONAL LENSING
55:55 - ARE OBJECTS SURVEYING PEOPLE?
58:20 - THE LARGE, LUMINOUS OBJECT
1:02:56 - WHY IS THE FBI CHECKING OUT UAP?
1:05:15 - EUROPEAN UAP
1:05:45 - CAN THE TEDESCO BROTHERS TRACK WHERE UAP CAME FROM?
1:11:06 - WHAT WILL THE FBI DO WITH THE INFO THE TEDESCO BROTHERS HAVE PROVIDED?
1:14:49 - OUTRO",2025-11-11T22:00:06Z,264802,6085,960,PT1H21M24S,initial_dump
7AfrcTSheq8,"Ross Coulthart: I'm excited about ""The Age of Disclosure"" film","Ross Coulthart talks about what's coming in the new film, ""Age of Disclosure.""

More #RealityCheck: https://youtu.be/jrmu4H_XU9g

#AgeofDisclosure #premiere #RossCoulthart",2025-11-10T16:00:09Z,11550,344,15,PT57S,initial_dump
nNDSim0FwY4,Coulthart reacts to Dr. Eric Davis asking Trump to absolve him,Doctor wants President Trump's protection before he blows the whistle on secret UAP programs.,2025-11-09T14:01:20Z,12574,441,17,PT1M46S,initial_dump
iqBzZMhLgWU,Ross Coulthart: 'There is no government disclosure plan',"Ross Coulthart says he believes the government does not plan to disclose UAP information.

More #RealityCheck: https://youtu.be/jrmu4H_XU9g

#UAP #disclosure #RossCoulthart",2025-11-09T13:30:53Z,7528,122,9,PT58S,initial_dump
jrmu4H_XU9g,Ross Coulthart Q&A: Did Lockheed Martin reverse engineer an alien submarine? | Reality Check,"Ross Coulthart explores untold stories using a fact-based approach to address various topics, from unidentified anomalous phenomena to other mysteries that often go unreported. Now, he is turning to viewers, answering their pressing questions each week. In this week's episode, Coulthart tackles questions about his recent interview with James Fox, gives his take on Project Blue Beam and answers whether Lockheed Martin reverse engineered an alien submarine. 

Ross Coulthart & James Fox: https://www.youtube.com/watch?v=5Zit-08rtkE
Ross Coulthart & Uri Geller: https://youtu.be/5NHQBoEmYBo?si=isxpbnYGsmn0yIAx
Ross Coulthart's Egypt visit: https://youtu.be/Auj4aX8VJ4Y?si=1SGPH1AfwLbdsvY_

#LockheedMartin #RealityCheck #ProjectBlueBeam

CREDITS
Host: Ross Coulthart
Executive Producer: Andy Gipson
Editorial Producer: Meagan Ourada
Segment Producer: Christine Jenkinson
Associate Producer: Will Tomasi
Editor: Sarah Jackson

On ""Reality Check,"" NewsNation Special Correspondent Ross Coulthart takes a fact-based approach to tackle everything from unidentified aerial phenomena (UAPs) to mysteries often missing from the headlines. 

More Reality Check: https://www.newsnationnow.com/podcasts-newsnation/reality-check-with-ross-coulthart/ 

Email your questions to RealityCheck@NewsNationNow.com 

NewsNation is your source for fact-based, unbiased news for all Americans. 
More from NewsNation: https://www.newsnationnow.com/ 
Get our app: https://trib.al/TBXgYpp 
Find us on your screen: https://www.joinnn.com/

CHAPTERS
00:00-02:25 Is the Dr. Davis interviews a part of disclosure?
02:25-06:12 Why are there delays in releasing UAP films? 
06:12-09:17 Will there be more congressional hearings? 
09:17-14:20 What will change the global conspiracy of withholding information? 
14:20-17:18 Is there a reverse engineered alien submarine? 
17:18-24:18 Project Blue Beam 
24:18-25:55 Is Kenneth Arnold lying?
25:55-31:00 George Knapp & the Russian UAP files",2025-11-09T13:00:06Z,111728,3937,625,PT31M19S,initial_dump
4Hj-de9RfpM,Ross Coulthart: 'I have a huge interest in Varginha UAP crash',"Ross Coulthart shows of figurine depicting the alleged Varginha, Brazil alien.",2025-11-07T14:00:12Z,13927,319,8,PT46S,initial_dump
5Zit-08rtkE,World-changing confession: Doctor describes studying live alien | Reality Check,"In this “Reality Check” exclusive, for the first time ever, we hear firsthand eyewitness testimony from a neurosurgeon who had face-to-face contact with an alien. Ross Coulthart sits down with director and producer James Fox to discuss his film ""Moment of Contact,"" which updates the 1996 Brazilian UFO incident known as the ""Roswell of Brazil."" 
 
Now, there is new evidence, such as an exclusive interview with a neurosurgeon who claims to have telepathically communicated with a live alien being. The incident involved a cigar-shaped UFO crashing in Varginha, Brazil, and a subsequent military intervention. Witnesses, including a pilot and three young girls, reported seeing the alien being. The film also features testimony from military personnel and pathologists who studied the alien's unique bacteria. Fox emphasizes the need for public disclosure and government inquiry into these events.

#UAP #alien #roswell

On ""Reality Check,"" NewsNation Special Correspondent Ross Coulthart takes a fact-based approach to tackle everything from unidentified aerial phenomena (UAPs) to mysteries often missing from the headlines. 

Credits:
Host: Ross Coulthart
Executive Producer: Andy Gipson
Editorial Producer: Meagan Ourada
Segment Producer: Christine Jenkinson
Associate Producer: Will Tomasi
Editor: Allen Keefner 

More Reality Check: https://www.newsnationnow.com/podcasts-newsnation/reality-check-with-ross-coulthart/ 

Email your questions to RealityCheck@NewsNationNow.com 

NewsNation is your source for fact-based, unbiased news for all Americans. 
More from NewsNation: https://www.newsnationnow.com/ 
Get our app: https://trib.al/TBXgYpp 
Find us on your screen: https://www.joinnn.com/

Chapter Summary: 
00:00-5:39 James Fox's Introduction
5:39-10:01 The Varginha Case: Initial Events
10:01-14:06 The Rescue Operation and New Witnesses
14:06-20:58 The Encounter with the Alien Being
20:58-30:55 Dr. Italo Venturelli's Testimony
30:55-43:47 The Military's Role and Intimidation
43:47-50:14 The Alien Being's Bacteria and Autopsy
50:14-51:22 The Political Implications and Future Steps
51:22-53:29 The Role of President Trump and Congress
53:29-59:36 Film Trailer
59:36-1:05:19 The Upcoming Film and Public Reaction",2025-11-04T22:00:06Z,1055678,26340,4776,PT1H5M25S,initial_dump
iMKQRUYQiQE,'Hollywood pushes an alien threat narrative': Ross Coulthart,"Ross Coulthart dives into the portrayal of aliens and UAPs in film.

Watch this full episode of ""Reality Check"": https://youtu.be/xDPd6iLntYU

#Hollywood #aliens #UFOs",2025-11-03T18:01:01Z,9451,305,17,PT55S,initial_dump
KKuzL2cewIk,'I'm not scared of being threatened': Ross Coulthart,"Ross Coulthart speaks on whether he gets threats for his reporting.

Watch this full episode of ""Reality Check"": https://youtu.be/xDPd6iLntYU

#RossCoulthart #transparenc #RealityCheck",2025-11-02T13:30:15Z,6466,196,19,PT30S,initial_dump
xDPd6iLntYU,Ross Coulthart Q&A: Is the sun a portal for aliens? | Reality Check,"Ross Coulthart explores untold stories using a fact-based approach to address various topics, from unidentified anomalous phenomena to other mysteries that often go unreported. Now, he is turning to viewers, answering their pressing questions each week. In this week's ""Reality Check"" Q&A, Coulthart tackles questions about mysterious structures in the ocean, special interest groups accused of stalling disclosure and whether the sun is a portal for aliens.

#aliens #RossCoulthart #uap 

https://youtu.be/0eZotIpsrsE?si=lVVoBz6a4InSYw0A
https://youtu.be/rEYDY2EMm8c?si=E1M1rICfrIVeY8HI


CREDITS
Host: Ross Coulthart
Executive Producer: Andy Gipson
Editorial Producer: Meagan Ourada
Segment Producer: Christine Jenkinson
Associate Producer: Will Tomasi
Editor: Sarah Jackson

On ""Reality Check,"" NewsNation Special Correspondent Ross Coulthart takes a fact-based approach to tackle everything from unidentified aerial phenomena (UAPs) to mysteries often missing from the headlines. 

More Reality Check: https://www.newsnationnow.com/podcasts-newsnation/reality-check-with-ross-coulthart/ 

Email your questions to RealityCheck@NewsNationNow.com 

NewsNation is your source for fact-based, unbiased news for all Americans. 
More from NewsNation: https://www.newsnationnow.com/ 
Get our app: https://trib.al/TBXgYpp 
Find us on your screen: https://www.joinnn.com/

CHAPTERS
1:04 Does Ross ever walk away from leads?
4:28 Metallic sphere sightings
7:18 Ross on SETI
10:28 Undersea structures and sightings from the Navy
14:48 Would disclosure disrupt special interest groups?
18:26 Connections between nuclear bases, cattle mutilation and UAPs
23:14 Is there a secret about the sun?
29:47 Who Ross would be in “Star Trek”",2025-11-02T13:00:06Z,100812,3730,696,PT33M35S,initial_dump
UfKwQgmHfII,Rendlesham Forest: Lt. Col. Charles Halt responds to Larry Warren's 'lying' claims | Reality Check,"In this episode of ""Reality Check,"" Ross Coulthart sits down with retired Lt. Col. Charles Halt, the former deputy base commander of RAF Bentwaters. Halt is a key witness to the Rendlesham Forest incident. Together, they discuss Larry Warren's claims Halt is lying on official military forms, an infamous audiotape from that night and the government's involvement in a possible cover-up. 
 
Earlier this year, Coulthart was joined by two witnesses from that night, Larry Warren and Steve Longero. Warren and Longero were both U.S. Air Force security specialists when they not only saw the suspicious aircraft in 1980 but were told to ""keep their mouths shut"" by government officials. Watch that interview here: https://www.youtube.com/watch?v=21yW_XZR2LU

#UAP #USMilitary #RealityCheck

Host: Ross Coulthart
Executive Producer: Andy Gipson
Editorial Producer: Meagan Ourada
Segment Producer: Christine Jenkinson
Associate Producer: William Tomasi
Editor: Anthony Diasio

On ""Reality Check,"" NewsNation Special Correspondent Ross Coulthart takes a fact-based approach to tackle everything from unidentified aerial phenomena (UAPs) to mysteries often missing from the headlines. 

More Reality Check: https://www.newsnationnow.com/podcasts-newsnation/reality-check-with-ross-coulthart/ 

Email your questions to RealityCheck@NewsNationNow.com 

NewsNation is your source for fact-based, unbiased news for all Americans. 
More from NewsNation: https://www.newsnationnow.com/ 
Get our app: https://trib.al/TBXgYpp 
Find us on your screen: https://www.joinnn.com/

0:00 - INTRO
2:40 - HALT'S REBUTTLE TO LARRY WARREN
4:00 - HALT RECOUNTS THAT NIGHT
12:09 - 13:55 - LARGE CARGO AIRCRAFT
13:56 - WAS THE D.O.E AT THE BASE?
18:35 - WHERE IS CAPEL GREEN?
21:06 - CONSPIRACY OR COVER-UP?
23:09 - HALT'S AUDIOTAPE
27:19 - WERE PHOTOGRAPHS TAKEN OF THE OBJECT?
28:38 - WARREN'S FILMCAMERA CLAIM
29:22 - STEVE LONGERO'S CLAIMS
30:27 - MILITARY INVESTIGATES INCIDENT
39:02 - WHY WOULD SOMEONE FAKE THIS STORY?
41:07 - WHEN DID THE AIRCRAFT ARRIVE?
42:12 - DID INVESTIGATORS TRY TO SHUT DOWN THE INCIDENT?
40:55 - WAS THE OBJECT NHI?
57:21 - WOULD HALT GIVE EVIDENCE UNDER OATH?
59:34 - OUTRO",2025-10-28T21:00:06Z,290554,4206,710,PT1H40S,initial_dump
LtjlTqC1atI,Ross Coulthart Q&A: New Jersey drone mystery solved? | Reality Check,"Ross Coulthart explores untold stories using a fact-based approach to address various topics, from unidentified aerial phenomena to other mysteries that often go unreported. Now, he's turning to viewers, answering their pressing questions each week. In this week's episode, Coulthart tackles questions about SpaceX satellites emitting a mysterious signal, what protections whistleblowers can get and his take on the explanation for mysterious New Jersey drone sightings.

#drones #SpaceX #whistleblower

CREDITS
Host: Ross Coulthart
Executive Producer: Andy Gipson
Editorial Producer: Meagan Ourada
Segment Producer: Christine Jenkinson
Associate Producer: Will Tomasi
Editor: Anthony Diasio

On ""Reality Check,"" NewsNation Special Correspondent Ross Coulthart takes a fact-based approach to tackle everything from unidentified aerial phenomena (UAPs) to mysteries often missing from the headlines. 

More Reality Check: https://www.newsnationnow.com/podcasts-newsnation/reality-check-with-ross-coulthart/ 

Email your questions to RealityCheck@NewsNationNow.com 

NewsNation is your source for fact-based, unbiased news for all Americans. 
More from NewsNation: https://www.newsnationnow.com/ 
Get our app: https://trib.al/TBXgYpp 
Find us on your screen: https://www.joinnn.com/

CHAPTERS
:43 SpaceX satellites mysterious signal
3:02 NJ drone mystery solved?
10:31 UAP sightings in Canada
11:47 Will ‘The Age of Disclosure’ move the needle on disclosure?
18:46 Ross and whistleblower connections
20:50 ArXiv not publishing Dr. Beatriz Villarroel research
29:57 Ross’ office decor
31:13 Meagan meets Bigfoot?",2025-10-26T12:00:06Z,327060,5822,703,PT35M9S,initial_dump
lBXYzWOOG9E,Ross Coulthart previews his upcoming trip to South America,Ross Coulthart previews his upcoming trip to South America for tours and plans to bring back information for his viewers.,2025-10-21T12:01:25Z,8730,249,11,PT34S,initial_dump
zKXq-QQ9FUw,Exclusive: Data showing possible nonhuman intelligence passes peer review | Reality Check,"In this episode of ""Reality Check,"" Ross Coulthart brings two important updates to two very important ""Reality Check"" exclusives. First, he sits down with Dr. Beatriz Villarroel, and she tells Ross that two of her scientific papers have just passed peer review. The significance of this is that her papers show that nonhuman intelligence was possibly found in space. Ross also gives an update on the Canadian UAP report that was released earlier this year. He reads the reaction of former Canadian Parliament member Larry Maguire to the report, which was exclusively given to NewsNation. On the topic of UAPs, Maguire tells Ross it's important people stay engaged and be open to where the evidence leads. 

#UFO #NHI #UAP

Host: Ross Coulthart
Executive Producer: Andy Gipson
Editorial Producer: Meagan Ourada
Segment Producer: Christine Jenkinson
Associate Producer: William Tomasi
Editor: Anthony Diasio

On ""Reality Check,"" NewsNation Special Correspondent Ross Coulthart takes a fact-based approach to tackle everything from unidentified aerial phenomena (UAPs) to mysteries often missing from the headlines. 

More Reality Check: https://www.newsnationnow.com/podcasts-newsnation/reality-check-with-ross-coulthart/ 

Email your questions to RealityCheck@NewsNationNow.com 

NewsNation is your source for fact-based, unbiased news for all Americans. 
More from NewsNation: https://www.newsnationnow.com/ 
Get our app: https://trib.al/TBXgYpp 
Find us on your screen: https://www.joinnn.com/

00:00-1:07 Intro to Dr. Villarroel 
1:07-3:36 Dr. Villarroel talks about passing peer review 
3:36-5:29 What did Dr. Villarroel find? 
5:29-7:28 Is what Dr. Villarroel found NHI? 
7:28-9:18 are these objects still in space? 
9:18-12:12 is this the first scientific acceptance of NHI?
12:12-14:03 What does Dr. Villarroel think she found?  
14:03-15:33 TV & movies vs. these real-life findings 
15:33-17:07 mainstream media vs. UAP topic stigma 
17:07-18:55 should NASA be making the next move? 
18:55-19:44 What Dr. Villarroel is working on next 
19:44-29:35 Exclusive former Canadian Parliament member, Larry Maguire, reacts to Sky Canada report 
29:35-30:14 Where to send Ross your questions",2025-10-20T21:19:56Z,371243,10408,1353,PT30M24S,initial_dump
Y8IGevaFLHk,Reality Check: Citizen Scientists Spot UAPs & Ross Coulthart Q&A on Congress Hearing | Backscroll,"On today’s episode of Backscroll, citizen scientists reveal dozens of UAP detections across US airspace, followed by Ross Coulthart’s Q&A on the latest Congressional UAP hearing and UFO updates.",2025-10-19T18:00:38Z,72161,1347,150,PT2H2S,initial_dump
